N/A              S/A         Asie        Europe      Oceanie    Afrique
145,228746720121 1464,944358 2094,366607 889,3452280 231,380288 934,477787
134,185463947050 1485,584805 2002,926355 888,5510400 228,735319 924,344183
168,649489034796 1484,215895 1848,522482 874,7635840 245,726318 942,46334
154,624901623298 1679,444481 1701,894972 796,2112710 250,266475 960,201184
145,810924192133 1763,844572 1677,755547 788,3354510 255,504299 984,778073
181,556134647504 1780,126527 1689,258795 756,2919470 256,667322 1012,130583
272,338364164902 1842,315778 1694,887107 631,7328810 257,982283 1028,294364
289,566645201210 1933,275260 1723,856252 512,4017300 251,987338 1038,310895
294,280180608169 1921,141139 1737,675270 427,0980850 202,898886 1073,53005
360,404349918306 2002,294748 1740,594388 333,2958210 187,408917 1082,300616
379,775312877458 1990,377157 1736,926957 245,0840680 170,853547 1103,527162
264,975781670197 1967,847761 1763,598315 162,5365930 163,708424 1145,279651
265,339593316188 1885,029807 1743,525617 68,05281000 142,976227 1148,520261
196,041505059002 1641,080136 1737,248816 -32,6618990 130,711821 1152,506248
175,612899783661 1573,583331 1751,916338 -61,4567190 144,170445 1146,480475
201,060155733737 1544,930540 1709,431684 -106,364674 139,347698 1152,039791
282,111166130106 1455,727153 1683,658375 -142,118915 134,572661 1141,750212
296,379453697428 1395,377306 1696,949280 -170,711151 120,276176 1149,155538
337,645700757943 1401,928990 1719,554278 -179,759536 133,245956 1161,425449
354,786326650529 1353,827768 1670,013315 -210,033366 128,852599 1178,797394
427,407909883510 1363,449407 1580,030420 -239,249869 127,517086 1174,853245
412,131248673223 1407,283887 1516,274079 -247,120918 121,426721 1187,640259
404,181724341906 1322,647448 1440,877966 -253,014204 109,546931 1174,42202
432,196378742814 1338,356883 1299,671780 -287,618634 101,839931 1143,481718
432,888886114977 1690,328600 1251,085751 -273,317745 51,9444460 1120,933972
450,887334443268 2022,582508 1189,623527 -276,203833 37,5576790 1123,121292
452,534840494705 2128,275572 1074,168630 -292,181545 22,2592840 1122,902193
458,023898956127 2156,831475 969,7916280 -295,157548 20,2899620 1147,898563
428,370722813918 2023,927563 967,5907290 -305,573375 19,3144760 1147,970128
398,170538724660 2107,638061 968,9189020 -328,878609 18,9210520 1165,935145
324,735092730711 2197,572145 1100,990458 -339,787317 45,0569570 1104,731289
417,440024792738 2257,373327 1245,623323 -366,246549 50,7766520 1121,553835
473,212656422088 2214,094118 1539,687945 -377,490695 59,6411700 1160,553824
419,207398145235 1859,244754 1755,348155 -423,240915 55,7638150 1166,690064
391,205723918306 1777,781397 2034,779386 -454,808787 79,9979260 1167,993281
340,187063214826 1655,208535 2258,413772 -452,818179 81,3484860 1201,130812
323,345314373676 1640,513855 2341,139976 -534,193823 81,2376520 1187,892388
164,838137880484 1599,391138 5650,693495 -562,060867 77,0285290 1177,916227
170,534648813918 1611,785095 2320,321901 -617,367400 65,0103800 1179,544973
145,199457903177 1580,536513 1723,324102 -641,685554 58,9299240 1187,086089
140,000699308623 1641,360524 1568,973444 -682,211529 11,3065360 1070,937562
113,651973170953 1573,254132 1526,947173 -733,675205 -2,9994910 1071,617246
141,525750916793 1587,155358 2089,334670 -748,818359 34,1493500 1085,424153
80,0473953933434 1544,661896 1063,577377 -769,547987 39,5288360 1135,561124
84,7146586686838 1653,633738 970,8361100 -780,561657 36,9759840 1149,42565
53,1973163524962 1556,425714 962,3147370 -805,066247 33,9262140 1245,472486
35,6825375642965 1527,100212 1802,926035 -808,694042 66,4141550 1244,066509
-31,046584223903 1473,657305 449,3896650 -808,377688 65,2030550 1253,216186
43,8374673812405 1359,964008 536,1554380 -792,137938 83,2341320 1247,273355
-3,8195500574887 1332,890785 921,1318320 -768,762240 78,1254920 1255,952538
5,78421784114980 1308,815952 538,0693430 -719,966654 96,9173600 1251,101899
