Année Em Util_terres
1959 2,46 1.40
1960 2,58 1,39
1961 2,59 1,46
1962 2,70 1,46
1963 2,85 1,47
1964 3,01 1,49
1965 3,14 1,50
1966 3,30 1,54
1967 3,41 1,55
1968 3,59 1,48
1969 3,80 1,48
1970 4,08 1,44
1971 4,23 1,29
1972 4,40 1,26
1973 4,63 1,25
1974 4,64 1,25
1975 4,61 1,25
1976 4,88 1,31
1977 5,03 1,32
1978 5,10 1,31
1979 5,39 1,28
1980 5,33 1,24
1981 5,17 1,26
1982 5,13 1,46
1983 5,11 1,51
1984 5,29 1,56
1985 5,44 1,58
1986 5,61 1,60
1987 5,75 1,61
1988 5,96 1,64
1989 6,09 1,65
1990 6,14 1,64
1991 6,24 1,71
1992 6,12 1,61
1993 6,12 1,59
1994 6,24 1,58
1995 6,37 1,56
1996 6,51 1,53
1997 6,62 1,49
1998 6,59 1,49
1999 6,57 1,45
2000 6,74 1,41
2001 6,90 1,39
2002 6,95 1,52
2003 7,29 1,51
2004 7,67 1,53
2005 7,97 1,47
2006 8,23 1,56
2007 8,51 1,44
2008 8,67 1,20
