N/A S/A Asie Europe Oceanie Afrique
145,228746720121 1464,944358 2094,366607 889,345228 231,380288 934,477787
134,18546394705 1485,584805 2002,926355 888,55104 228,735319 924,344183
168,649489034796 1484,215895 1848,522482 874,763584 245,726318 942,46334
154,624901623298 1679,444481 1701,894972 796,211271 250,266475 960,201184
145,810924192133 1763,844572 1677,755547 788,335451 255,504299 984,778073
181,556134647504 1780,126527 1689,258795 756,291947 256,667322 1012,130583
272,338364164902 1842,315778 1694,887107 631,732881 257,982283 1028,294364
289,56664520121 1933,27526 1723,856252 512,40173 251,987338 1038,310895
294,280180608169 1921,141139 1737,67527 427,098085 202,898886 1073,53005
360,404349918306 2002,294748 1740,594388 333,295821 187,408917 1082,300616
379,775312877458 1990,377157 1736,926957 245,084068 170,853547 1103,527162
264,975781670197 1967,847761 1763,598315 162,536593 163,708424 1145,279651
265,339593316188 1885,029807 1743,525617 68,05281 142,976227 1148,520261
196,041505059002 1641,080136 1737,248816 -32,661899 130,711821 1152,506248
175,612899783661 1573,583331 1751,916338 -61,456719 144,170445 1146,480475
201,060155733737 1544,93054 1709,431684 -106,364674 139,347698 1152,039791
282,111166130106 1455,727153 1683,658375 -142,118915 134,572661 1141,750212
296,379453697428 1395,377306 1696,94928 -170,711151 120,276176 1149,155538
337,645700757943 1401,92899 1719,554278 -179,759536 133,245956 1161,425449
354,786326650529 1353,827768 1670,013315 -210,033366 128,852599 1178,797394
427,40790988351 1363,449407 1580,03042 -239,249869 127,517086 1174,853245
412,131248673223 1407,283887 1516,274079 -247,120918 121,426721 1187,640259
404,181724341906 1322,647448 1440,877966 -253,014204 109,546931 1174,42202
432,196378742814 1338,356883 1299,67178 -287,618634 101,839931 1143,481718
432,888886114977 1690,3286 1251,085751 -273,317745 51,944446 1120,933972
450,887334443268 2022,582508 1189,623527 -276,203833 37,557679 1123,121292
452,534840494705 2128,275572 1074,16863 -292,181545 22,259284 1122,902193
458,023898956127 2156,831475 969,791628 -295,157548 20,289962 1147,898563
428,370722813918 2023,927563 967,590729 -305,573375 19,314476 1147,970128
398,17053872466 2107,638061 968,918902 -328,878609 18,921052 1165,935145
324,735092730711 2197,572145 1100,990458 -339,787317 45,056957 1104,731289
417,440024792738 2257,373327 1245,623323 -366,246549 50,776652 1121,553835
473,212656422088 2214,094118 1539,687945 -377,490695 59,64117 1160,553824
419,207398145235 1859,244754 1755,348155 -423,240915 55,763815 1166,690064
391,205723918306 1777,781397 2034,779386 -454,808787 79,997926 1167,993281
340,187063214826 1655,208535 2258,413772 -452,818179 81,348486 1201,130812
323,345314373676 1640,513855 2341,139976 -534,193823 81,237652 1187,892388
164,838137880484 1599,391138 5650,693495 -562,060867 77,028529 1177,916227
170,534648813918 1611,785095 2320,321901 -617,3674 65,01038 1179,544973
145,199457903177 1580,536513 1723,324102 -641,685554 58,929924 1187,086089
140,000699308623 1641,360524 1568,973444 -682,211529 11,306536 1070,937562
113,651973170953 1573,254132 1526,947173 -733,675205 -2,999491 1071,617246
141,525750916793 1587,155358 2089,33467 -748,818359 34,14935 1085,424153
80,0473953933434 1544,661896 1063,577377 -769,547987 39,528836 1135,561124
84,7146586686838 1653,633738 970,83611 -780,561657 36,975984 1149,42565
53,1973163524962 1556,425714 962,314737 -805,066247 33,926214 1245,472486
35,6825375642965 1527,100212 1802,926035 -808,694042 66,414155 1244,066509
-31,0465842239032 1473,657305 449,389665 -808,377688 65,203055 1253,216186
43,8374673812405 1359,964008 536,155438 -792,137938 83,234132 1247,273355
-3,8195500574887 1332,890785 921,131832 -768,76224 78,125492 1255,952538
5,7842178411498 1308,815952 538,069343 -719,966654 96,91736 1251,101899
